Orbit Start Time     Orbit Stop Time     External Fluence     Attenuated Fluence
yyyy:doy:hh:mm:ss   yyyy:doy:hh:mm:ss    (p/cm^2-sr-Mev)       (p/cm^2-sr-Mev)
--------------------------------------------------------------------------------
2001:272:07:44:00   2001:274:23:14:00    1.71542191532e+10    8.52374670921e+09
2001:274:23:14:00   2001:277:14:39:00    1.15889895048e+10    0.00000000000e+00
2001:277:14:39:00   2001:280:06:09:01    2.93029824842e+09    1.34077724376e+09
2001:280:06:09:01   2001:282:21:39:00    9.27728130300e+09    7.28180817300e+08
2001:282:21:39:00   2001:285:13:09:01    2.26797436500e+10    0.00000000000e+00
2001:285:13:09:01   2001:288:04:34:00    5.41239974294e+09    0.00000000000e+00
2001:288:04:34:00   2001:290:19:59:00    3.13502083584e+09    1.25890608534e+09
2001:290:19:59:00   2001:293:11:29:00    8.16430552320e+09    1.36955079420e+09
2001:293:11:29:00   2001:296:02:54:00    2.37210075618e+10    4.22496025080e+09
2001:296:02:54:00   2001:298:18:24:00    4.94224129295e+09    1.77093931894e+09
2001:298:18:24:00   2001:301:09:49:01    2.02314510396e+10    1.81239320100e+09
2001:301:09:49:01   2001:304:01:19:00    5.35252214550e+09    1.12050836982e+09
2001:304:01:19:00   2001:306:16:44:00    2.68427248230e+09    8.87401542300e+08
2001:306:16:44:00   2001:309:08:14:00    2.60634339717e+09    7.66478050170e+08
2001:309:08:14:00   2001:311:23:44:00    3.34066820310e+10    0.00000000000e+00
2001:311:23:44:00   2001:314:15:14:01    3.88702500210e+09    8.39115184500e+08
2001:314:15:14:01   2001:317:06:39:01    2.83647218607e+09    1.35120172057e+09
2001:317:06:39:01   2001:319:22:09:00    3.40274697861e+09    5.48224319610e+08
2001:319:22:09:00   2001:322:13:34:01    4.22792153040e+09    1.81779381540e+09
2001:322:13:34:01   2001:325:05:04:01    7.55521778910e+09    1.66766461110e+09
2001:325:05:04:01   2001:327:20:29:00    4.28758654638e+09    2.25864691938e+09
2001:327:20:29:00   2001:330:11:59:00    3.25168033659e+10    1.31769563490e+09
2001:330:11:59:00   2001:333:03:29:00    1.95507620310e+09    1.80231363750e+08
2001:333:03:29:00   2001:335:18:54:01    2.19311475309e+09    4.69016351190e+08
2001:335:18:54:01   2001:338:10:24:01    2.17814294403e+09    2.66629938000e+07
2001:338:10:24:01   2001:341:01:54:00    2.32779058170e+09    9.56803738200e+08
2001:341:01:54:00   2001:343:17:24:00    9.25301329830e+08    1.68687639630e+08
2001:343:17:24:00   2001:346:08:49:00    1.85531682780e+09    2.57541376800e+08
2001:346:08:49:00   2001:349:00:19:01    3.25492822662e+09    2.21903766312e+09
2001:349:00:19:01   2001:351:15:49:01    3.95624481966e+09    1.68049734876e+09
2001:351:15:49:01   2001:354:07:14:01    1.25411861322e+09    2.50713078720e+08
2001:354:07:14:01   2001:356:22:44:01    1.97088168344e+09    1.19693038888e+08
2001:356:22:44:01   2001:359:14:09:01    8.65776782400e+08    2.10966763440e+08
2001:359:14:09:01   2001:362:05:39:00    8.22957661494e+08    1.25419763700e+08
2001:362:05:39:00   2001:364:21:09:01    4.53040277750e+09    1.40770977658e+09
2001:364:21:09:01   2002:002:15:24:00    6.04797495150e+09    1.58196693990e+09
2002:002:15:24:00   2002:005:04:09:00    1.38832978126e+09    2.77993697100e+08
2002:005:04:09:00   2002:007:19:34:00    1.75933221490e+09    2.74773840696e+08
2002:007:19:34:00   2002:010:11:04:00    1.34162071323e+09    2.82796166430e+08
2002:010:11:04:00   2002:013:02:34:00    8.25403364520e+09    2.76395193861e+09
2002:013:02:34:00   2002:015:17:59:00    2.38539823659e+09    2.98972875498e+08
2002:015:17:59:00   2002:018:09:29:01    2.16144682717e+09    9.88685777544e+07
2002:018:09:29:01   2002:021:00:54:00    1.54995805944e+09    0.00000000000e+00
2002:021:00:54:00   2002:023:16:24:01    1.04160567648e+09    0.00000000000e+00
2002:023:16:24:01   2002:026:07:54:00    1.08796354194e+09    1.62808979400e+07
2002:026:07:54:00   2002:028:23:24:00    9.09726201258e+08    4.40673684000e+07
2002:028:23:24:00   2002:031:14:54:01    7.29038086710e+08    1.49203980390e+08
2002:031:14:54:01   2002:034:06:19:00    1.17531122052e+09    7.91966400840e+07
2002:034:06:19:00   2002:036:21:44:00    4.54906847880e+09    7.27328807400e+07
2002:036:21:44:00   2002:039:13:14:00    3.39536622528e+09    2.14140944280e+08
2002:039:13:14:00   2002:042:04:44:00    2.03723910981e+09    1.21433673810e+08
2002:042:04:44:00   2002:044:20:09:00    2.76746804796e+09    2.65120606860e+08
2002:044:20:09:00   2002:047:11:39:00    1.44592614702e+09    5.41324966020e+08
2002:047:11:39:00   2002:050:03:04:01    1.83482666148e+09    2.53201989180e+08
2002:050:03:04:01   2002:052:18:34:01    1.48486587177e+09    2.03404759494e+08
2002:052:18:34:01   2002:055:10:04:01    1.04047223937e+09    1.94127063870e+08
2002:055:10:04:01   2002:058:01:34:01    1.02862375383e+09    1.45960086933e+08
2002:058:01:34:01   2002:060:16:59:00    1.72756814163e+09    1.60046702730e+08
2002:060:16:59:00   2002:063:08:24:00    2.30780872452e+09    7.80939905100e+07
2002:063:08:24:00   2002:065:23:54:00    3.65855137578e+09    3.44568487440e+08
2002:065:23:54:00   2002:068:15:19:00    1.65033909624e+09    2.40927131040e+08
2002:068:15:19:00   2002:071:06:49:00    1.75609047027e+09    3.71477795970e+08
2002:071:06:49:00   2002:073:22:14:00    1.32180993582e+09    2.49659318970e+08
2002:073:22:14:00   2002:076:13:44:01    1.15959987085e+09    6.59336997552e+08
2002:076:13:44:01   2002:079:05:09:01    2.98387562742e+10    7.59818817198e+09
2002:079:05:09:01   2002:081:20:39:01    4.60668522583e+09    7.66329209066e+08
2002:081:20:39:01   2002:084:12:09:00    2.70302946786e+09    1.38329282189e+09
2002:084:12:09:00   2002:087:03:34:00    1.34396473579e+09    2.40517814316e+08
2002:087:03:34:00   2002:089:19:04:00    2.06458217582e+09    9.67485045654e+07
2002:089:19:04:00   2002:092:10:29:00    4.03897316430e+09    1.07106686775e+09
2002:092:10:29:00   2002:095:01:59:00    1.60517620638e+09    2.20286453277e+08
2002:095:01:59:00   2002:097:17:24:00    1.25205754839e+09    2.17077482146e+08
2002:097:17:24:00   2002:100:08:49:00    6.65538123711e+08    9.56411509902e+07
2002:100:08:49:00   2002:103:00:19:00    1.73874679836e+09    3.96927724608e+08
2002:103:00:19:00   2002:105:15:49:00    1.53609328521e+09    1.92814962210e+08
2002:105:15:49:00   2002:108:07:14:01    8.15950549545e+09    2.56778789145e+09
2002:108:07:14:01   2002:110:22:44:01    1.21102493601e+10    3.49836978300e+09
2002:110:22:44:01   2002:113:14:14:01    4.47656975064e+09    0.00000000000e+00
2002:113:14:14:01   2002:116:05:39:01    1.77743310957e+09    4.24657165080e+08
2002:116:05:39:01   2002:118:21:04:00    2.02639413540e+09    6.10618079100e+08
2002:118:21:04:00   2002:121:12:34:00    1.28455315110e+09    4.66309663500e+08
2002:121:12:34:00   2002:124:04:04:00    1.06638923580e+09    3.07090435500e+08
2002:124:04:04:00   2002:126:19:29:00    1.02488776845e+09    2.14372000770e+08
2002:126:19:29:00   2002:129:10:59:00    6.72705777900e+08    1.83460597440e+08
2002:129:10:59:00   2002:132:02:24:00    1.51776685830e+09    3.07892452680e+08
2002:132:02:24:00   2002:134:17:54:01    1.18784174670e+09    5.29211520900e+08
2002:134:17:54:01   2002:137:09:24:00    6.96791752800e+08    2.53122579600e+08
2002:137:09:24:00   2002:140:00:54:00    3.41387425140e+09    6.63255480960e+08
2002:140:00:54:00   2002:142:16:19:01    1.86327369750e+09    6.17026742400e+08
2002:142:16:19:01   2002:145:07:44:00    7.46655299310e+09    6.97602306300e+08
2002:145:07:44:00   2002:147:23:14:00    2.56355275020e+09    1.45497310320e+09
2002:147:23:14:00   2002:150:14:44:00    2.06698104330e+09    7.09971786300e+08
2002:150:14:44:00   2002:153:06:09:01    8.15995884600e+08    1.17363311640e+08
2002:153:06:09:01   2002:155:21:39:01    9.09791256300e+08    3.66559432650e+08
2002:155:21:39:01   2002:158:13:04:00    6.95200014990e+08    5.16751727940e+07
2002:158:13:04:00   2002:161:04:34:00    6.48264975300e+08    2.74224393120e+08
2002:161:04:34:00   2002:163:20:04:00    8.69461562400e+08    1.82135716050e+08
2002:163:20:04:00   2002:166:11:34:01    5.30758204620e+08    1.91085261780e+08
2002:166:11:34:01   2002:169:03:04:01    9.25609576500e+08    6.44336755800e+08
